XYDATA, head_y_rot_accel
0.0 -0.0
1e-05 -0.733012
3.8e-05 -5.698017
8e-05 -7.171968
0.000134 -6.401552
0.000197 -4.489255
0.000268 -1.515957
0.000344 1.235356
0.000425 2.36302
0.00051 1.890969
0.000598 0.997029
0.000689 0.720709
0.000781 1.305084
0.000875 2.017805
0.00097 2.075751
0.001066 1.287275
0.001163 0.083625
0.00126 -0.862773
0.001358 -1.103658
0.001456 -0.653572
0.001555 0.094224
0.001654 0.67589
0.001753 0.754289
0.001853 0.302862
0.001952 -0.349994
0.002052 -0.9495
0.002151 -1.28838
0.002251 -1.280065
0.002351 -0.96195
0.002451 -0.4316
0.002551 0.215496
0.00265 0.886754
0.00275 1.460488
0.00285 1.79212
0.00295 1.770336
0.00305 1.372792
0.00315 0.683306
0.00325 -0.127993
0.00335 -0.847375
0.00345 -1.284856
0.00355 -1.354052
0.00365 -1.104255
0.00375 -0.670069
0.00385 -0.194293
0.00395 0.209125
0.00405 0.462576
0.00415 0.53292
0.00425 0.440483
0.00435 0.252624
0.00445 0.057712
0.00455 -0.067156
0.00465 -0.07915
0.00475 0.02204
0.00485 0.198555
0.00495 0.387863
0.00505 0.522204
0.00515 0.55074
0.00525 0.460275
0.00535 0.281672
0.00545 0.069874
0.00555 -0.12644
0.00565 -0.274925
0.00575 -0.348886
0.00585 -0.324972
0.00595 -0.200849
0.00605 -0.00534
0.00615 0.205015
0.00625 0.367165
0.00635 0.435524
0.00645 0.395646
0.00655 0.265281
0.00665 0.086161
0.00675 -0.090137
0.00685 -0.216265
0.00695 -0.259099
0.00705 -0.205937
0.00715 -0.06758
0.00725 0.122775
0.00735 0.315884
0.00745 0.462606
0.00755 0.528099
0.00765 0.501295
0.00775 0.395821
0.00785 0.245068
0.00795 0.093699
0.00805 -0.015861
0.00815 -0.057886
0.00825 -0.031176
0.00835 0.04361
0.00845 0.134693
0.00855 0.211481
0.00865 0.25304
0.00875 0.251126
0.00885 0.208071
0.00895 0.134189
0.00905 0.047294
0.00915 -0.029621
0.00925 -0.074968
0.00935 -0.077231
0.00945 -0.040582
0.00955 0.016549
0.00965 0.069377
0.00975 0.096545
0.00985 0.086869
0.00995 0.041191
0.01005 -0.029384
0.01015 -0.106869
0.01025 -0.170005
0.01035 -0.198363
0.01045 -0.177657
0.01055 -0.104589
0.01065 0.011419
0.01075 0.149142
0.01085 0.279913
0.01095 0.376314
0.01105 0.421007
0.01115 0.410716
0.01125 0.354622
0.01135 0.270021
0.01145 0.177084
0.01155 0.093743
0.01165 0.031847
0.01175 -0.004849
0.01185 -0.020454
0.01195 -0.02448
0.01205 -0.027972
0.01215 -0.03921
0.01225 -0.059697
0.01235 -0.079632
0.01245 -0.078625
0.01255 -0.037522
0.01265 0.049997
0.01275 0.176785
0.01285 0.32746
0.01295 0.475755
0.01305 0.57911
0.01315 0.586439
0.01325 0.464934
0.01335 0.225639
0.01345 -0.075823
0.01355 -0.363179
0.01365 -0.572519
0.01375 -0.675826
0.01385 -0.681548
0.01395 -0.617071
0.01405 -0.509212
0.01415 -0.375292
0.01425 -0.225856
0.01435 -0.071313
0.01445 0.074745
0.01455 0.197936
0.01465 0.28797
0.01475 0.341132
0.01485 0.357985
0.01495 0.338606
0.01505 0.27954
0.01515 0.173907
0.01525 0.016452
0.01535 -0.19145
0.01545 -0.437104
0.01555 -0.694925
0.01565 -0.930194
0.01575 -1.106319
0.01585 -1.195078
0.01595 -1.18499
0.01605 -1.081949
0.01615 -0.902867
0.01625 -0.666797
0.01635 -0.391075
0.01645 -0.096251
0.01655 0.191055
0.01665 0.444191
0.01675 0.65139
0.01685 0.821158
0.01695 0.957438
0.01705 1.027849
0.01715 0.97025
0.01725 0.739019
0.01735 0.348319
0.01745 -0.124627
0.01755 -0.57752
0.01765 -0.930629
0.01775 -1.149612
0.01785 -1.236487
0.01795 -1.206213
0.01805 -1.071574
0.01815 -0.84476
0.01825 -0.548194
0.01835 -0.22134
0.01845 0.085173
0.01855 0.32556
0.01865 0.474693
0.01875 0.533384
0.01885 0.52046
0.01895 0.457655
0.01905 0.356583
0.01915 0.214132
0.01925 0.017204
0.01935 -0.246264
0.01945 -0.574301
0.01955 -0.941682
0.01965 -1.299285
0.01975 -1.583962
0.01985 -1.735403
0.01995 -1.713162
0.02005 -1.506785
0.02015 -1.138524
0.02025 -0.660617
0.02035 -0.142724
0.02045 0.347296
0.02055 0.757337
0.02065 1.044972
0.02075 1.165002
0.02085 1.074094
0.02095 0.752748
0.02105 0.224288
0.02115 -0.442272
0.02125 -1.146024
0.02135 -1.78197
0.02145 -2.254431
0.02155 -2.529095
0.02165 -2.612543
0.02175 -2.524024
0.02185 -2.276303
0.02195 -1.896347
0.02205 -1.428897
0.02215 -0.917589
0.02225 -0.402879
0.02235 0.072325
0.02245 0.46396
0.02255 0.734609
0.02265 0.859498
0.02275 0.830667
0.02285 0.649087
0.02295 0.31195
0.02305 -0.181416
0.02315 -0.802333
0.02325 -1.465178
0.02335 -2.063175
0.02345 -2.517803
0.02355 -2.767381
0.02365 -2.777037
0.02375 -2.544487
0.02385 -2.095444
0.02395 -1.499479
0.02405 -0.825052
0.02415 -0.150412
0.02425 0.428476
0.02435 0.811847
0.02445 0.922321
0.02455 0.732685
0.02465 0.278991
0.02475 -0.348256
0.02485 -1.030482
0.02495 -1.653251
0.02505 -2.130643
0.02515 -2.415163
0.02525 -2.496438
0.02535 -2.3884
0.02545 -2.121008
0.02555 -1.732548
0.02565 -1.266815
0.02575 -0.771501
0.02585 -0.296169
0.02595 0.11155
0.02605 0.410645
0.02615 0.570861
0.02625 0.575142
0.02635 0.420772
0.02645 0.118557
0.02655 -0.304541
0.02665 -0.803139
0.02675 -1.320435
0.02685 -1.77627
0.02695 -2.153739
0.02705 -2.440209
0.02715 -2.622938
0.02725 -2.675035
0.02735 -2.5555
0.02745 -2.235499
0.02755 -1.750388
0.02765 -1.193879
0.02775 -0.687901
