XYDATA, head_y_rot_accel
0.0 -0.0
1e-06 5.197908
6e-06 4.516157
3.1e-05 -4.474302
0.000156 -4.855813
0.000456 -1.939528
0.000896 0.229148
0.001448 0.590864
0.00209 0.353194
0.002803 0.337696
0.003574 0.70507
0.00439 1.278605
0.005243 1.919205
0.006126 2.637273
0.007032 3.473684
0.007957 4.432102
0.008897 5.505349
0.009848 6.692442
0.01081 7.980828
0.011779 9.292535
0.012755 10.629913
0.013735 11.99996
0.014719 13.399704
0.015706 14.864773
0.016696 16.445459
0.017688 18.20016
0.018682 19.778916
0.019677 21.480085
0.020673 23.006994
0.021669 24.560054
0.022667 25.968252
0.023664 27.1035
0.024663 28.286117
0.025661 29.210622
0.02666 30.052383
0.027659 30.835543
0.028659 31.512417
0.029658 32.098058
0.030658 32.380601
0.031657 32.722119
0.032657 32.836642
0.033657 32.946547
0.034657 33.023532
0.035657 33.011878
0.036656 33.037065
0.037656 33.34022
0.038656 33.639232
0.039656 33.9209
0.040656 34.070057
0.041656 34.520519
0.042656 34.455451
0.043656 34.129647
0.044656 34.132281
0.045656 33.940357
0.046656 33.917381
0.047656 33.725097
0.048656 33.59284
0.049656 33.006282
0.050656 32.129734
0.051656 30.946711
0.052656 29.514408
0.053656 28.339585
0.054656 27.394705
0.055656 26.974899
0.056656 26.130105
0.057656 24.975297
0.058656 23.148396
0.059656 20.687453
0.060656 18.14668
0.061656 15.462949
0.062656 12.604584
0.063656 9.462617
0.064656 6.679305
0.065656 3.539335
0.066656 0.717796
0.067656 -2.310404
0.068656 -6.698977
0.069656 -14.516696
0.070656 -24.649896
0.071656 -37.671859
0.072656 -54.605985
0.073656 -75.800776
0.074656 -101.492825
0.075656 -131.778222
0.076656 -167.596945
0.077656 -211.003521
0.078656 -265.50375
0.079656 -336.080565
0.080656 -429.125492
0.081656 -563.186489
0.082656 -762.778242
0.083656 -1052.765944
0.084656 -1509.146076
0.085656 -2203.404458
0.086656 -3098.509932
0.087656 -3951.582932
0.088656 -4359.633919
0.089656 -4210.472634
0.090656 -3694.064889
0.091656 -3032.545771
0.092656 -2405.343972
0.093656 -1879.260435
0.094656 -1478.105943
0.095656 -1192.66219
0.096656 -982.826706
0.097656 -827.58724
0.098656 -694.727499
0.099656 -591.244757
0.100656 -498.483762
0.101656 -428.449069
0.102656 -362.592776
0.103656 -316.172236
0.104656 -280.820235
0.105656 -251.010472
0.106656 -241.369631
0.107656 -242.442011
0.108656 -252.213886
0.109656 -261.27087
0.110656 -264.466522
0.111656 -246.764558
0.112656 -87.837345
0.113656 294.800114
0.114656 737.401623
0.115656 1052.511036
0.116656 1145.708412
0.117656 1072.771711
0.118656 938.723065
0.119561 1199.206101
0.120001 8663.047142
0.120553 3410.11546
0.121194 1580.2506
0.121636 1927.537204
0.122189 959.213478
0.122801 803.879801
0.123326 1518.128601
0.123947 858.022907
0.124643 611.828357
0.1254 517.736243
0.126205 493.574082
0.12705 703.942823
0.127926 723.558055
0.128826 783.063319
0.129746 914.449295
0.130549 2881.359593
0.13111 7432.299936
0.131728 3684.398786
0.132225 4780.22562
0.132793 2639.624946
0.133448 1276.376688
0.133792 2541.71775
0.134268 1013.199278
0.134821 319.835875
0.135463 12.163885
0.136177 -166.017451
0.136728 -3274.729275
0.137338 -1352.371675
0.137666 -2263.102697
0.138062 -1278.628194
0.138579 -187.743606
0.139192 474.036186
0.139554 32817.047584
0.140044 11655.134918
0.140635 4518.594973
0.141309 2212.300965
0.142047 1553.428443
0.142838 1385.971921
0.143671 1266.888502
0.144537 912.79319
0.144665 -80272.773906
0.144967 -26202.126075
0.145408 -8293.126585
0.145962 -2490.102646
0.146604 -654.849322
0.147284 -1.344036
0.148028 152.169495
0.148824 53.163676
0.14966 -31.24467
0.150529 0.098127
0.151424 304.161813
0.15234 777.665348
0.152784 18988.342035
0.152996 -40800.952954
0.15333 -10727.37881
0.153797 -2658.297801
0.154317 2408.244559
0.154522 -897.054185
0.154764 10812.79907
0.155159 4595.444775
0.155674 2538.616003
0.156286 1920.352875
0.156976 1762.703466
0.157692 3047.221801
0.158465 2051.885932
0.159205 4180.24035
0.159922 5000.155134
0.160696 2666.422101
0.161475 2902.243884
0.162299 1982.870028
0.163036 4762.125438
0.163825 2484.558747
