XYDATA, head_y_rot_accel
0.0 -0.0
0.0 5.43959
1e-06 12.460739
3e-06 14.33169
1.6e-05 -1.085108
3.8e-05 -9.537092
6.7e-05 -8.549371
0.000103 -6.516362
0.000143 -5.204076
0.000188 -3.302563
0.000235 -0.552969
0.000285 2.037543
0.000337 3.352902
0.000391 3.03974
0.000446 1.642461
0.000502 0.146818
0.000559 -0.628328
0.000616 -0.462553
0.000674 0.51269
0.000732 1.781897
0.000791 2.762752
0.00085 3.153647
0.000909 2.85207
0.000968 1.924378
0.001028 0.587358
0.001087 -0.804204
0.001147 -1.817342
0.001207 -2.223968
0.001266 -1.868993
0.001326 -0.839112
0.001386 0.480217
0.001446 1.62794
0.001506 2.276042
0.001566 2.293158
0.001626 1.702096
0.001686 0.773428
0.001746 -0.145427
0.001806 -0.748588
0.001866 -0.926577
0.001926 -0.849105
0.001986 -0.697134
0.002046 -0.597532
0.002106 -0.612265
0.002166 -0.748091
0.002226 -0.95759
0.002286 -1.134212
0.002346 -1.120557
0.002406 -0.765735
0.002466 -0.015549
0.002526 1.031987
0.002586 2.148205
0.002646 3.063031
0.002706 3.572355
0.002766 3.603984
0.002826 3.218173
0.002886 2.558455
0.002946 1.791596
0.003006 1.056825
0.003066 0.441197
0.003126 -0.02107
0.003186 -0.336172
0.003246 -0.528801
0.003306 -0.621885
0.003366 -0.627413
0.003426 -0.546563
0.003486 -0.371795
0.003546 -0.091331
0.003606 0.300893
0.003666 0.789136
0.003726 1.322169
0.003786 1.814184
0.003846 2.166518
0.003906 2.300227
0.003966 2.184555
0.004026 1.850684
0.004086 1.385602
0.004146 0.908123
0.004206 0.536041
0.004266 0.35474
0.004326 0.398617
0.004386 0.648869
0.004446 1.04774
0.004506 1.52139
0.004566 2.001825
0.004626 2.441225
0.004686 2.816626
0.004746 3.124237
0.004806 3.36476
0.004866 3.528826
0.004926 3.592302
0.004986 3.522969
0.005046 3.300585
0.005106 2.933782
0.005166 2.466544
0.005226 1.971863
0.005286 1.536577
0.005346 1.242431
0.005406 1.147277
0.005466 1.27165
0.005526 1.594432
0.005586 2.05728
0.005646 2.580002
0.005706 3.084817
0.005766 3.516477
0.005826 3.847886
0.005886 4.072174
0.005946 4.191454
0.006006 4.209884
0.006066 4.133205
0.006126 3.972165
0.006186 3.745502
0.006246 3.480083
0.006306 3.208652
0.006366 2.966848
0.006426 2.790019
0.006486 2.709777
0.006546 2.748635
0.006606 2.914402
0.006666 3.194799
0.006726 3.556367
0.006786 3.949934
0.006846 4.321176
0.006906 4.622421
0.006966 4.821447
0.007026 4.90516
0.007086 4.879057
0.007146 4.763106
0.007206 4.588058
0.007266 4.39113
0.007326 4.209484
0.007386 4.073755
0.007446 4.004784
0.007506 4.015828
0.007566 4.11559
0.007626 4.310966
0.007686 4.606825
0.007746 4.998368
0.007806 5.463253
0.007866 5.959361
0.007926 6.43079
0.007986 6.820092
0.008046 7.081284
0.008106 7.190443
0.008166 7.148768
0.008226 6.979392
0.008286 6.719951
0.008346 6.414329
0.008406 6.105163
0.008466 5.828729
0.008526 5.612788
0.008586 5.475664
0.008646 5.425479
0.008706 5.45979
0.008766 5.566874
0.008826 5.729653
0.008886 5.930053
0.008946 6.152326
0.009006 6.382517
0.009066 6.605582
0.009126 6.803635
0.009186 6.957926
0.009246 7.053846
0.009306 7.08738
0.009366 7.068873
0.009426 7.020966
0.009486 6.973454
0.009546 6.956812
0.009606 6.995947
0.009666 7.105585
0.009726 7.288378
0.009786 7.535769
0.009846 7.829391
0.009906 8.144636
0.009966 8.454546
0.010026 8.73331
0.010086 8.958553
0.010146 9.113587
0.010206 9.188044
0.010266 9.178846
0.010326 9.090022
0.010386 8.933436
0.010446 8.728091
0.010506 8.499621
0.010566 8.278288
0.010626 8.095667
0.010686 7.989883
0.010746 7.97453
0.010806 8.046509
0.010866 8.212848
0.010926 8.466074
0.010986 8.79532
0.011046 9.171573
0.011106 9.564871
0.011166 9.935678
0.011226 10.253805
0.011286 10.499244
0.011346 10.661824
0.011406 10.741381
0.011466 10.746246
0.011526 10.689974
0.011586 10.588225
0.011646 10.475374
0.011706 10.380243
0.011766 10.324366
0.011826 10.322564
0.011886 10.383428
0.011946 10.508298
0.012006 10.692203
0.012066 10.912461
0.012126 11.138113
0.012186 11.347318
0.012246 11.521519
0.012306 11.650076
0.012366 11.720452
0.012426 11.729149
0.012486 11.684481
0.012546 11.607447
0.012606 11.523212
0.012666 11.457971
0.012726 11.416878
0.012786 11.412436
0.012846 11.450383
0.012906 11.535354
0.012966 11.668472
0.013026 11.846639
0.013086 12.061496
0.013146 12.304241
0.013206 12.55577
0.013266 12.799951
0.013326 13.022614
0.013386 13.199633
0.013446 13.317697
0.013506 13.373336
0.013566 13.379416
0.013626 13.357232
0.013686 13.319672
0.013746 13.273872
0.013806 13.230505
0.013866 13.202132
0.013926 13.199931
0.013986 13.23181
0.014046 13.302183
0.014106 13.411582
0.014166 13.557738
0.014226 13.735785
0.014286 13.93683
0.014346 14.149002
0.014406 14.364956
0.014466 14.567242
0.014526 14.741053
0.014586 14.880441
0.014646 14.981166
0.014706 15.044562
0.014766 15.079108
0.014826 15.094875
0.014886 15.097515
0.014946 15.093088
0.015006 15.096062
0.015066 15.120339
0.015126 15.163851
0.015186 15.218655
0.015246 15.283456
0.015306 15.356403
0.015366 15.43553
0.015426 15.524852
0.015486 15.615683
0.015546 15.694481
0.015606 15.759198
0.015666 15.822506
0.015726 15.892123
0.015786 15.971964
0.015846 16.064672
0.015906 16.174005
0.015966 16.305754
0.016026 16.464215
0.016086 16.624166
0.016146 16.774974
0.016206 16.915489
0.016266 17.045766
0.016326 17.169016
0.016386 17.282844
0.016446 17.385372
0.016506 17.476354
0.016566 17.573109
0.016626 17.686195
0.016686 17.810927
0.016746 17.943723
0.016806 18.081147
0.016866 18.219758
0.016926 18.35631
0.016986 18.488011
0.017046 18.612642
0.017106 18.728747
0.017166 18.835703
0.017226 18.933691
0.017286 19.023529
0.017346 19.10637
0.017406 19.183501
0.017466 19.256242
0.017526 19.328418
0.017586 19.417045
0.017646 19.510105
0.017706 19.597487
0.017766 19.674895
0.017826 19.740799
0.017886 19.794919
0.017946 19.83737
0.018006 19.868579
0.018066 19.878259
0.018126 19.884529
0.018186 19.91143
0.018246 19.969764
0.018306 20.063768
0.018366 20.194316
0.018426 20.360712
0.018486 20.561877
0.018546 20.786097
0.018606 20.995217
0.018666 21.180211
0.018726 21.3377
0.018786 21.466581
0.018846 21.567224
0.018906 21.640919
0.018966 21.689487
0.019026 21.720649
0.019086 21.781034
0.019146 21.857245
0.019206 21.932031
0.019266 21.996187
0.019326 22.0444
0.019386 22.07315
0.019446 22.079772
0.019506 22.061989
0.019566 22.006427
0.019626 21.935647
0.019686 21.887672
0.019746 21.872026
0.019806 21.893491
0.019866 21.955772
0.019926 22.062242
0.019986 22.21618
0.020046 22.415374
0.020106 22.622473
0.020166 22.826671
0.020226 23.023571
0.020286 23.210681
0.020346 23.386037
0.020406 23.547511
0.020466 23.69251
0.020526 23.821344
0.020586 23.96134
0.020646 24.110264
0.020706 24.261756
0.020766 24.408936
0.020826 24.546479
0.020886 24.670465
0.020946 24.778138
0.021006 24.867978
0.021066 24.955598
0.021126 25.036486
0.021186 25.094919
