XYDATA, head_y_rot_accel
0.0 -0.0
0.0 5.43959
1e-06 12.460739
3e-06 14.33169
1.5e-05 -1.079865
3.5e-05 -10.132307
6e-05 -9.009131
9.1e-05 -6.74809
0.000125 -5.839903
0.000163 -4.674832
0.000203 -2.449387
0.000245 0.329757
0.000289 2.657985
0.000334 3.7302
0.000379 3.363011
0.000426 1.995603
0.000474 0.396488
0.000521 -0.701899
0.00057 -0.953102
0.000618 -0.413136
0.000667 0.690841
0.000717 1.95007
0.000766 2.912319
0.000815 3.436434
0.000865 3.467014
0.000915 2.980989
0.000964 1.997415
0.001014 0.630884
0.001064 -0.844743
0.001114 -1.997537
0.001164 -2.698811
0.001213 -2.760393
0.001263 -2.028412
0.001313 -0.688727
0.001363 0.837035
0.001413 2.115158
0.001463 2.839797
0.001513 2.969711
0.001563 2.472869
0.001613 1.532693
0.001663 0.44892
0.001713 -0.481101
0.001763 -1.06114
0.001813 -1.165735
0.001863 -0.899865
0.001913 -0.515135
0.001963 -0.210629
0.002013 -0.099055
0.002063 -0.21802
0.002113 -0.549799
0.002163 -1.035428
0.002213 -1.57297
0.002263 -2.012051
0.002313 -2.167754
0.002363 -1.875815
0.002413 -1.069947
0.002463 0.163358
0.002513 1.593602
0.002563 2.92294
0.002613 3.888928
0.002663 4.343272
0.002713 4.282014
0.002763 3.819509
0.002813 3.126656
0.002863 2.371221
0.002913 1.679475
0.002963 1.122323
0.003013 0.718233
0.003063 0.444109
0.003113 0.247525
0.003163 0.062941
0.003213 -0.164744
0.003263 -0.455424
0.003313 -0.780823
0.003363 -1.069991
0.003413 -1.232111
0.003463 -1.189187
0.003513 -0.903177
0.003563 -0.388081
0.003613 0.292546
0.003663 1.038598
0.003713 1.733415
0.003763 2.265718
0.003813 2.562678
0.003863 2.598624
0.003913 2.34179
0.003963 1.848521
0.004013 1.27246
0.004063 0.758784
0.004113 0.379982
0.004163 0.176217
0.004213 0.156501
0.004263 0.302921
0.004313 0.575904
0.004363 0.922665
0.004413 1.289789
0.004463 1.636853
0.004513 1.947067
0.004563 2.230622
0.004613 2.516989
0.004663 2.83735
0.004713 3.202503
0.004763 3.593546
0.004813 3.946365
0.004863 4.182901
0.004913 4.236952
0.004963 4.063398
0.005013 3.662963
0.005063 3.083821
0.005113 2.407017
0.005163 1.726293
0.005213 1.129056
0.005263 0.684076
0.005313 0.438821
0.005363 0.418492
0.005413 0.62229
0.005463 1.020142
0.005513 1.551894
0.005563 2.136508
0.005613 2.691238
0.005663 3.156966
0.005713 3.514838
0.005763 3.783611
0.005813 3.999798
0.005863 4.192517
0.005913 4.366316
0.005963 4.498916
0.006013 4.55316
0.006063 4.495643
0.006113 4.310548
0.006163 4.00689
0.006213 3.618143
0.006263 3.194539
0.006313 2.794151
0.006363 2.475052
0.006413 2.287517
0.006463 2.265369
0.006513 2.419643
0.006563 2.732492
0.006613 3.158879
0.006663 3.635649
0.006713 4.09624
0.006763 4.484842
0.006813 4.76625
0.006863 4.928196
0.006913 4.978422
0.006963 4.935824
0.007013 4.823697
0.007063 4.664303
0.007113 4.475983
0.007163 4.272391
0.007213 4.063275
0.007263 3.857525
0.007313 3.667575
0.007363 3.513477
0.007413 3.424428
0.007463 3.434754
0.007513 3.575704
0.007563 3.865134
0.007613 4.300921
0.007663 4.857844
0.007713 5.491018
0.007763 6.143207
0.007813 6.753367
0.007863 7.26486
0.007913 7.635416
0.007963 7.84154
0.008013 7.879118
0.008063 7.763256
0.008113 7.523486
0.008163 7.197106
0.008213 6.822179
0.008263 6.431848
0.008313 6.05139
0.008363 5.698554
0.008413 5.385838
0.008463 5.123525
0.008513 4.922279
0.008563 4.794262
0.008613 4.751856
0.008663 4.802989
0.008713 4.947942
0.008763 5.17553
0.008813 5.464404
0.008863 5.786996
0.008913 6.114099
0.008963 6.418551
0.009013 6.67764
0.009063 6.874637
0.009113 6.999908
0.009163 7.053255
0.009213 7.04327
0.009263 6.986493
0.009313 6.905169
0.009363 6.823601
0.009413 6.764644
0.009463 6.747095
0.009513 6.784266
0.009563 6.883585
0.009613 7.047766
0.009663 7.274539
0.009713 7.556916
0.009763 7.883192
0.009813 8.236917
0.009863 8.597146
0.009913 8.939304
0.009963 9.237674
0.010013 9.467518
0.010063 9.607359
0.010113 9.64265
0.010163 9.567617
0.010213 9.386473
0.010263 9.113919
0.010313 8.773312
0.010363 8.394932
0.010413 8.016003
0.010463 7.703095
0.010513 7.481604
0.010563 7.342722
0.010613 7.279246
0.010663 7.289472
0.010713 7.375762
0.010763 7.544437
0.010813 7.794324
0.010863 8.1541
0.010913 8.591144
0.010963 9.074104
0.011013 9.551201
0.011063 9.991359
0.011113 10.367078
0.011163 10.660122
0.011213 10.863043
0.011263 10.97692
0.011313 11.009996
0.011363 10.976049
0.011413 10.892188
0.011463 10.776062
0.011513 10.643408
0.011563 10.504662
0.011613 10.381299
0.011663 10.290113
0.011713 10.241415
0.011763 10.24221
0.011813 10.296861
0.011863 10.407847
0.011913 10.574493
0.011963 10.789278
0.012013 11.03649
0.012063 11.282134
0.012113 11.493733
0.012163 11.655815
0.012213 11.749792
0.012263 11.767526
0.012313 11.712883
0.012363 11.603115
0.012413 11.444572
0.012463 11.25904
0.012513 11.08211
0.012563 10.932487
0.012613 10.816897
0.012663 10.742278
0.012713 10.717328
0.012763 10.749213
0.012813 10.84101
0.012863 10.99339
0.012913 11.202889
0.012963 11.462063
0.013013 11.763763
0.013063 12.098708
0.013113 12.451591
0.013163 12.815273
0.013213 13.152719
0.013263 13.428756
0.013313 13.61744
0.013363 13.710602
0.013413 13.717023
0.013463 13.655869
0.013513 13.540584
0.013563 13.415669
0.013613 13.297974
0.013663 13.185702
0.013713 13.083316
0.013763 12.99835
0.013813 12.938583
0.013863 12.911324
0.013913 12.923262
0.013963 12.97706
0.014013 13.074881
0.014063 13.215713
0.014113 13.39646
0.014163 13.612014
0.014213 13.861472
0.014263 14.120947
0.014313 14.36978
0.014363 14.585936
0.014413 14.757403
0.014463 14.881209
0.014513 14.959329
0.014563 14.99674
0.014613 15.00174
0.014663 14.982625
0.014713 14.949023
0.014763 14.908018
0.014813 14.866489
0.014863 14.836078
0.014913 14.823673
0.014963 14.837127
0.015013 14.863608
0.015063 14.91113
0.015113 14.977917
0.015163 15.061766
0.015213 15.16379
0.015263 15.283115
0.015313 15.41592
0.015363 15.557342
0.015413 15.714438
0.015463 15.869992
0.015513 16.007237
0.015563 16.100012
0.015613 16.155144
0.015663 16.187222
0.015713 16.205145
0.015763 16.216733
0.015813 16.227567
0.015863 16.245819
0.015913 16.279977
0.015963 16.336103
0.016013 16.418657
0.016063 16.510651
0.016113 16.600451
0.016163 16.687482
0.016213 16.766983
0.016263 16.837164
0.016313 16.900147
0.016363 16.959448
0.016413 17.018454
0.016463 17.081047
0.016513 17.151212
0.016563 17.247397
0.016613 17.372802
0.016663 17.520949
0.016713 17.686654
0.016763 17.864321
0.016813 18.047985
0.016863 18.234022
0.016913 18.417675
0.016963 18.591481
0.017013 18.750712
0.017063 18.894134
0.017113 19.022226
0.017163 19.136304
0.017213 19.237849
0.017263 19.327776
0.017313 19.406316
0.017363 19.475959
0.017413 19.535824
0.017463 19.584658
0.017513 19.622918
0.017563 19.66493
0.017613 19.705083
0.017663 19.735567
