XYDATA, head_y_rot_accel
0.0 -0.0
0.05 30.240239
0.051 20.546647
0.052 16.744708
0.053 16.009057
0.054 13.535832
0.055 12.9534
0.056 10.559558
0.057 9.758418
0.058 6.397008
0.059 1.63043
0.06 -1.953925
0.061 -7.817326
0.062 -12.332781
0.063 -18.833756
0.064 -26.791284
0.065 -36.658685
0.066 -47.380966
0.067 -58.856642
0.068 -70.13309
0.069 -84.45158
0.07 -100.781209
0.071 -120.473555
0.072 -140.538883
0.073 -168.499358
0.074 -203.122429
0.075 -246.111266
0.076 -295.501003
0.077 -351.767521
0.078 -422.126764
0.079 -498.936606
0.08 -604.452098
0.081 -774.522852
0.082 -968.775094
0.083 -1279.341799
0.084 -1808.173468
0.085 -2265.256988
0.086 -4084.140666
0.087 -3639.492379
0.088 -4325.893365
0.089 -4209.603905
0.09 -1077.396398
0.091 -2577.21294
0.092 -216.698216
0.093 -5161.744572
0.094 -3828.582433
0.095 -1324.033045
0.096 -1160.137397
0.097 -63.505764
0.098 -206.859094
0.099 -1127.470311
0.1 -1028.809009
ENDATA
