XYDATA, head_y_rot_accel
0.0 -0.0
0.05 30.240238
0.051 20.411417
0.052 16.616333
0.053 16.034983
0.054 13.527968
0.055 12.945604
0.056 10.530041
0.057 9.786609
0.058 6.404323
0.059 1.633001
0.06 -1.964909
0.061 -7.835501
0.062 -12.33453
0.063 -18.826262
0.064 -26.790758
0.065 -36.658964
0.066 -47.392366
0.067 -58.857593
0.068 -70.124999
0.069 -84.459048
0.07 -100.78268
0.071 -120.465749
0.072 -140.523853
0.073 -168.503821
0.074 -203.127432
0.075 -246.120298
0.076 -295.513711
0.077 -351.751407
0.078 -422.105893
0.079 -498.922007
0.08 -604.457866
0.081 -774.546654
0.082 -968.784943
0.083 -1279.30762
0.084 -1808.073446
0.085 -2265.453982
0.086 -4083.506908
0.087 -3639.13265
0.088 -4326.18021
0.089 -4210.775438
0.09 -1079.23276
0.091 -2552.375673
0.092 -223.618928
0.093 -5287.720378
0.094 -3742.116928
0.095 -1289.703524
0.096 -1254.436574
0.097 24.866105
0.098 -234.685225
0.099 -208.424712
0.1 172.930981
ENDATA
