XYDATA, head_y_rot_accel
0.0 -0.0
1e-06 5.197987
6e-06 4.516681
3e-05 -4.54432
6.9e-05 -7.09877
0.000121 -6.208705
0.000182 -4.329504
0.000251 -1.549919
0.000326 1.113156
0.000406 2.27077
0.00049 1.80895
0.000577 0.856661
0.000667 0.542965
0.000759 1.092778
0.000852 1.82528
0.000947 1.978665
0.001043 1.316933
0.001139 0.217507
0.001237 -0.688261
0.001335 -0.95966
0.001433 -0.581202
0.001531 0.100616
0.00163 0.636287
0.00173 0.73654
0.001829 0.376003
0.001928 -0.227786
0.002028 -0.798517
0.002127 -1.122456
0.002227 -1.120408
0.002327 -0.834565
0.002427 -0.362405
0.002527 0.203232
0.002626 0.781589
0.002726 1.275632
0.002826 1.56823
0.002926 1.560003
0.003026 1.220905
0.003126 0.615948
0.003226 -0.105204
0.003326 -0.749216
0.003426 -1.142721
0.003526 -1.20323
0.003626 -0.972058
0.003726 -0.570913
0.003826 -0.12995
0.003926 0.246499
0.004026 0.484234
0.004126 0.545088
0.004226 0.441075
0.004326 0.235544
0.004426 0.019447
0.004526 -0.125457
0.004626 -0.155061
0.004726 -0.071339
0.004826 0.086723
0.004926 0.260316
0.005026 0.39071
0.005126 0.438647
0.005226 0.393185
0.005326 0.275895
0.005426 0.130777
0.005526 0.00194
0.005626 -0.082463
0.005726 -0.107696
0.005826 -0.066769
0.005926 0.034004
0.006026 0.168514
0.006126 0.295466
0.006226 0.372697
0.006326 0.372218
0.006426 0.28889
0.006526 0.140592
0.006626 -0.035928
0.006726 -0.196126
0.006826 -0.30036
0.006926 -0.322931
0.007026 -0.257131
0.007126 -0.116055
0.007226 0.070847
0.007326 0.265463
0.007426 0.430584
0.007526 0.537515
0.007626 0.57076
0.007726 0.530149
0.007826 0.431141
0.007926 0.30328
0.008026 0.182943
0.008126 0.099965
0.008226 0.066647
0.008326 0.076064
0.008426 0.109331
0.008526 0.146041
0.008626 0.171904
0.008726 0.180922
0.008826 0.173246
0.008926 0.151985
0.009026 0.122455
0.009126 0.092352
0.009226 0.070127
0.009326 0.061947
0.009426 0.068429
0.009526 0.082742
0.009626 0.092587
0.009726 0.085289
0.009826 0.05344
0.009926 -0.00187
0.010026 -0.071521
0.010126 -0.141377
0.010226 -0.195971
0.010326 -0.221439
0.010426 -0.207926
0.010526 -0.151973
0.010626 -0.058523
0.010726 0.058762
0.010826 0.180419
0.010926 0.286053
0.011026 0.359347
0.011126 0.391686
0.011226 0.383096
0.011326 0.340851
0.011426 0.276954
0.011526 0.204891
0.011626 0.136107
0.011726 0.077864
0.011826 0.03269
0.011926 -0.000663
0.012026 -0.025559
0.012126 -0.045691
0.012226 -0.063093
0.012326 -0.076415
0.012426 -0.079307
0.012526 -0.059194
0.012626 -0.0022
0.012726 0.095675
0.012826 0.221377
0.012926 0.346857
0.013026 0.436473
0.013126 0.456083
0.013226 0.38403
0.013326 0.222884
0.013426 0.003972
0.013526 -0.221336
0.013626 -0.400812
0.013726 -0.501953
0.013826 -0.519971
0.013926 -0.470452
0.014026 -0.37594
0.014126 -0.256859
0.014226 -0.129713
0.014326 -0.008754
0.014426 0.092641
0.014526 0.165094
0.014626 0.204877
0.014726 0.214712
0.014826 0.202444
0.014926 0.174593
0.015026 0.132582
0.015126 0.072047
0.015226 -0.016345
0.015326 -0.142261
0.015426 -0.307892
0.015526 -0.501541
0.015626 -0.698052
0.015726 -0.865328
