XYDATA, head_y_rot_accel
0.0 -0.0
0.0 5.439597
1e-06 12.460791
3e-06 14.33196
1.6e-05 -1.083385
7.8e-05 -6.132853
0.000391 -3.42619
0.001441 -0.857876
0.003081 -0.052004
0.005193 0.067941
0.007682 0.087539
0.010474 0.095041
0.013507 0.037239
0.016734 -0.106787
0.020115 -0.397346
0.02362 -0.746779
0.027224 -1.143776
0.030908 -1.596936
0.034654 -2.180129
0.038451 -2.829843
0.042289 -3.436716
0.04616 -4.015516
0.050056 -4.782382
0.053973 -6.007012
0.057906 -8.129725
0.061853 -13.566128
0.065811 -24.054524
0.069777 -42.981521
0.073749 -81.751604
0.077728 -164.13799
0.08171 -340.646073
0.085696 -688.34709
0.089323 -2135.416071
0.091678 -6047.345749
0.093874 -3378.559915
0.095966 -1581.45695
0.09799 -391.998157
0.100409 -35.230917
0.102895 543.624636
0.104924 1535.32306
0.107347 875.500675
0.110085 698.870399
0.112804 626.368401
0.114427 -811.211248
0.116143 -370.614285
0.117526 -1177.713376
0.11874 11354.944911
0.1189 -69445.931492
0.119266 -31119.799414
0.120359 -10351.499589
0.121424 -5032.446703
0.122326 -1426.079848
0.123293 197.813246
0.124009 2068.428432
0.124383 3373.152459
0.125283 2016.081368
0.126388 1932.476555
0.127154 1822.133874
0.127924 2095.988036
0.128182 8262.457006
0.129188 3178.543921
0.129917 3867.875798
0.130923 1967.875857
0.131653 1967.242135
0.132911 939.740157
0.134553 1020.222131
0.134745 16753.48834
0.135699 6202.422992
0.137262 2888.917698
0.139312 2134.52014
0.141752 2479.543487
0.144504 2856.181387
0.145323 20295.050244
0.145984 5657.290086
0.147072 991.636911
0.148135 -1631.631162
0.149335 -1169.608963
ENDATA
