XYDATA, head_y_rot_accel
0.0 -0.0
1e-07 5.439597
1e-06 12.460791
3e-06 14.33196
1.6e-05 -1.083385
4.6e-05 -8.089165
9e-05 -7.538904
0.000145 -5.43626
0.000209 -2.609907
0.00028 0.542469
0.000357 2.495807
0.000439 2.450556
0.000524 1.242562
0.000613 0.343348
0.000703 0.504692
0.000796 1.370527
0.00089 1.989397
0.000985 1.747016
0.001081 0.748334
0.001178 -0.384268
0.001275 -1.01311
0.001373 -0.885729
0.001472 -0.221042
0.001571 0.500432
0.00167 0.857299
0.001769 0.6894
0.001868 0.145484
0.001968 -0.489315
0.002067 -0.947446
0.002167 -1.091003
0.002267 -0.929122
0.002366 -0.555347
0.002466 -0.068812
0.002566 0.45891
0.002666 0.958896
0.002766 1.33283
0.002866 1.469238
0.002966 1.296441
0.003066 0.827286
0.003166 0.169843
0.003266 -0.499218
0.003366 -0.990744
0.003466 -1.177006
0.003566 -1.048939
0.003666 -0.704176
0.003766 -0.273468
0.003866 0.130265
0.003966 0.423512
0.004066 0.553146
0.004166 0.507047
0.004266 0.324363
0.004366 0.085948
0.004466 -0.11712
0.004566 -0.218323
0.004666 -0.195389
0.004766 -0.069908
0.004866 0.107011
0.004966 0.274672
0.005066 0.382061
0.005166 0.402161
0.005266 0.339287
0.005366 0.225969
0.005466 0.106376
0.005566 0.015811
0.005666 -0.025763
0.005766 -0.00861
0.005866 0.066363
0.005966 0.181376
0.006066 0.301627
0.006166 0.385885
0.006266 0.4016
0.006366 0.336116
0.006466 0.20014
0.006566 0.024201
0.006666 -0.149787
0.006766 -0.279684
0.006866 -0.333723
0.006966 -0.297683
0.007066 -0.177949
0.007166 0.000324
0.007266 0.200045
0.007366 0.382093
0.007466 0.517492
0.007566 0.590163
0.007666 0.595085
0.007766 0.536714
0.007866 0.430881
0.007966 0.305597
0.008066 0.194007
0.008166 0.120602
0.008266 0.091371
0.008366 0.095154
0.008466 0.113387
0.008566 0.13046
0.008666 0.138954
0.008766 0.138779
0.008866 0.132826
0.008966 0.123858
0.009066 0.114446
0.009166 0.107534
0.009266 0.105623
0.009366 0.109123
0.009466 0.114731
0.009566 0.115175
0.009666 0.101158
0.009766 0.065467
0.009866 0.007162
0.009966 -0.066854
0.010066 -0.143717
0.010166 -0.208444
0.010266 -0.247626
0.010366 -0.251693
0.010466 -0.216317
0.010566 -0.143574
0.010666 -0.042401
0.010766 0.072247
0.010866 0.182453
0.010966 0.271813
0.011066 0.329266
0.011166 0.350739
0.011266 0.338653
0.011366 0.30007
0.011466 0.244796
0.011566 0.183191
0.011666 0.123655
0.011766 0.07113
0.011866 0.027194
0.011966 -0.008684
0.012066 -0.037907
0.012166 -0.062136
0.012266 -0.080163
0.012366 -0.088163
0.012466 -0.079421
0.012566 -0.042534
0.012666 0.035044
0.012766 0.152129
0.012866 0.285568
0.012966 0.397743
0.013066 0.451748
0.013166 0.423514
0.013266 0.308879
0.013366 0.126458
0.013466 -0.085615
0.013566 -0.279934
0.013666 -0.41632
0.013766 -0.475352
0.013866 -0.460094
0.013966 -0.387708
0.014066 -0.279487
0.014166 -0.155506
0.014266 -0.033664
0.014366 0.070534
0.014466 0.145677
0.014566 0.186683
0.014666 0.19621
0.014766 0.18256
0.014866 0.155015
0.014966 0.119176
0.015066 0.075016
0.015166 0.01662
0.015266 -0.066985
0.015366 -0.186774
0.015466 -0.344596
0.015566 -0.527182
0.015666 -0.70777
0.015766 -0.854031
0.015866 -0.938514
0.015966 -0.946788
0.016066 -0.879882
0.016166 -0.749898
0.016266 -0.572064
0.016366 -0.361418
0.016466 -0.13545
0.016566 0.084089
0.016666 0.276155
0.016766 0.434092
0.016866 0.573189
0.016966 0.706609
0.017066 0.805842
0.017166 0.801927
0.017266 0.636212
0.017366 0.312705
0.017466 -0.094842
0.017566 -0.485161
0.017666 -0.782898
0.017766 -0.962336
0.017866 -1.034244
0.017966 -1.017531
0.018066 -0.923713
0.018166 -0.7592
0.018266 -0.538262
0.018366 -0.291555
0.018466 -0.060931
0.018566 0.116258
0.018666 0.222326
0.018766 0.263702
0.018866 0.262132
0.018966 0.239151
0.019066 0.202116
0.019166 0.138661
0.019266 0.022249
0.019366 -0.173738
0.019466 -0.457817
0.019566 -0.807713
0.019666 -1.170186
0.019766 -1.474858
0.019866 -1.65564
0.019966 -1.668991
0.020066 -1.50295
0.020166 -1.178584
0.020266 -0.745599
0.020366 -0.268613
0.020466 0.191517
0.020566 0.5889
0.020666 0.88331
0.020766 1.027006
0.020866 0.971425
0.020966 0.691181
0.021066 0.205363
0.021166 -0.417663
0.021266 -1.075819
0.021366 -1.670055
0.021466 -2.121082
0.021566 -2.387612
0.021666 -2.48408
0.021766 -2.431369
0.021866 -2.239107
0.021966 -1.921198
0.022066 -1.506687
0.022166 -1.028238
0.022266 -0.52391
0.022366 -0.038219
0.022466 0.379697
0.022566 0.684192
0.022666 0.842838
0.022766 0.839898
0.022866 0.670059
0.022966 0.326609
0.023066 -0.18752
0.023166 -0.832987
0.023266 -1.511718
0.023366 -2.112851
0.023466 -2.555176
0.023566 -2.791493
0.023666 -2.787931
0.023766 -2.548184
0.023866 -2.089013
0.023966 -1.485701
0.024066 -0.812752
0.024166 -0.151213
0.024266 0.40083
0.024366 0.747735
0.024466 0.82245
0.024566 0.609643
0.024666 0.153125
0.024766 -0.455041
0.024866 -1.105127
0.024966 -1.696278
0.025066 -2.150099
0.025166 -2.421516
0.025266 -2.514897
0.025366 -2.440242
0.025466 -2.194939
0.025566 -1.817259
0.025666 -1.353498
0.025766 -0.855145
0.025866 -0.375112
0.025966 0.036518
0.026066 0.336375
0.026166 0.492776
0.026266 0.488428
0.026366 0.321533
0.026466 0.004977
0.026566 -0.43184
0.026666 -0.941766
0.026766 -1.450368
0.026866 -1.905291
0.026966 -2.271643
0.027066 -2.54863
0.027166 -2.723057
0.027266 -2.759705
0.027366 -2.624146
0.027466 -2.287305
0.027566 -1.787632
0.027666 -1.215387
0.027766 -0.70264
0.027866 -0.346811
0.027966 -0.209607
0.028066 -0.312569
0.028166 -0.631005
0.028266 -1.063625
0.028366 -1.519218
0.028466 -1.92284
0.028566 -2.235804
0.028666 -2.437333
0.028766 -2.547367
0.028866 -2.594306
0.028966 -2.613279
0.029066 -2.631506
0.029166 -2.650594
0.029266 -2.645722
0.029366 -2.581161
0.029466 -2.430041
0.029566 -2.163806
0.029666 -1.824941
0.029766 -1.481235
0.029866 -1.208202
0.029966 -1.072531
0.030066 -1.112564
0.030166 -1.324528
0.030266 -1.652485
0.030366 -2.008128
0.030466 -2.339574
0.030566 -2.596119
0.030666 -2.744226
0.030766 -2.76991
0.030866 -2.676871
0.030966 -2.491959
0.031066 -2.264432
0.031166 -2.049281
0.031266 -1.885688
0.031366 -1.783221
0.031466 -1.727783
0.031566 -1.704201
0.031666 -1.694463
0.031766 -1.688947
0.031866 -1.684749
0.031966 -1.679712
0.032066 -1.674333
0.032166 -1.674044
0.032266 -1.696726
0.032366 -1.768567
0.032466 -1.897823
0.032566 -2.09494
0.032666 -2.352244
0.032766 -2.638809
0.032866 -2.910492
0.032966 -3.124466
0.033066 -3.252151
0.033166 -3.285838
0.033266 -3.237334
0.033366 -3.130458
0.033466 -2.991501
0.033566 -2.84187
0.033666 -2.695099
0.033766 -2.557718
0.033866 -2.432083
0.033966 -2.319126
0.034066 -2.220105
0.034166 -2.137626
0.034266 -2.076521
0.034366 -2.04456
0.034466 -2.052272
0.034566 -2.1111
0.034666 -2.229966
0.034766 -2.411426
0.034866 -2.647871
0.034966 -2.908086
0.035066 -3.184256
0.035166 -3.457167
0.035266 -3.696156
0.035366 -3.881431
0.035466 -3.999743
0.035566 -4.039613
0.035666 -3.994092
0.035766 -3.863064
0.035866 -3.655088
0.035966 -3.386981
0.036066 -3.076822
0.036166 -2.74713
0.036266 -2.426846
0.036366 -2.138718
0.036466 -1.902479
0.036566 -1.734666
0.036666 -1.648303
0.036766 -1.651093
0.036866 -1.743641
0.036966 -1.918745
0.037066 -2.157156
0.037166 -2.432909
0.037266 -2.731954
0.037366 -3.028445
0.037466 -3.304199
0.037566 -3.543942
0.037666 -3.74074
0.037766 -3.896592
0.037866 -4.018956
0.037966 -4.11393
0.038066 -4.177959
0.038166 -4.206083
0.038266 -4.181074
0.038366 -4.081981
0.038466 -3.894511
0.038566 -3.642308
0.038666 -3.360231
0.038766 -3.085123
0.038866 -2.860889
0.038966 -2.727865
0.039066 -2.711909
0.039166 -2.81645
0.039266 -3.021251
0.039366 -3.294956
0.039466 -3.596186
0.039566 -3.883918
0.039666 -4.128938
0.039766 -4.33027
0.039866 -4.496117
0.039966 -4.638093
0.040066 -4.751123
0.040166 -4.833699
0.040266 -4.87653
0.040366 -4.859759
0.040466 -4.764764
0.040566 -4.585758
0.040666 -4.336
0.040766 -4.035225
0.040866 -3.697892
0.040966 -3.403871
0.041066 -3.187765
0.041166 -3.049953
0.041266 -2.973981
0.041366 -2.939409
0.041466 -2.933147
0.041566 -2.95694
0.041666 -3.020304
0.041766 -3.13105
0.041866 -3.301981
0.041966 -3.527953
0.042066 -3.792728
0.042166 -4.071214
0.042266 -4.334536
0.042366 -4.558923
0.042466 -4.729975
0.042566 -4.838632
0.042666 -4.883703
0.042766 -4.874297
0.042866 -4.830106
0.042966 -4.776107
0.043066 -4.742496
0.043166 -4.751915
0.043266 -4.811667
0.043366 -4.909519
0.043466 -5.024477
0.043566 -5.129474
0.043666 -5.197411
0.043766 -5.207858
0.043866 -5.151273
0.043966 -5.030007
0.044066 -4.857229
0.044166 -4.65517
0.044266 -4.451753
0.044366 -4.276486
0.044466 -4.155193
0.044566 -4.104119
0.044666 -4.125696
0.044766 -4.207837
0.044866 -4.31539
0.044966 -4.414175
0.045066 -4.512913
0.045166 -4.611201
0.045266 -4.707397
0.045366 -4.802223
0.045466 -4.898345
0.045566 -4.997824
0.045666 -5.099485
0.045766 -5.199322
0.045866 -5.289781
0.045966 -5.360728
0.046066 -5.419009
0.046166 -5.460146
0.046266 -5.477852
0.046366 -5.466867
0.046466 -5.420608
0.046566 -5.332112
0.046666 -5.190684
0.046766 -5.027191
0.046866 -4.868244
0.046966 -4.734734
0.047066 -4.641014
0.047166 -4.593233
0.047266 -4.59051
0.047366 -4.628532
0.047466 -4.702937
0.047566 -4.810991
0.047666 -4.951866
0.047766 -5.125938
0.047866 -5.333383
0.047966 -5.572172
0.048066 -5.835919
0.048166 -6.103525
0.048266 -6.342248
0.048366 -6.543292
0.048466 -6.692817
0.048566 -6.772696
0.048666 -6.770473
0.048766 -6.68489
0.048866 -6.5268
0.048966 -6.317366
0.049066 -6.084893
0.049166 -5.858142
0.049266 -5.662526
0.049366 -5.528928
0.049466 -5.459707
0.049566 -5.462085
0.049666 -5.536304
0.049766 -5.649491
0.049866 -5.790851
0.049966 -5.963746
0.050066 -6.148427
0.050166 -6.317221
0.050266 -6.448405
0.050366 -6.533413
0.050466 -6.577398
0.050566 -6.595768
0.050666 -6.579588
0.050766 -6.557674
0.050866 -6.560728
0.050966 -6.595666
0.051066 -6.6591
0.051166 -6.747014
0.051266 -6.857344
0.051366 -6.990835
0.051466 -7.14958
0.051566 -7.334289
0.051666 -7.541797
0.051766 -7.763989
0.051866 -7.989314
0.051966 -8.205841
0.052066 -8.404146
0.052166 -8.578707
0.052266 -8.727348
0.052366 -8.849541
0.052466 -8.944085
0.052566 -9.007553
0.052666 -9.035312
0.052766 -9.022719
0.052866 -8.96688
0.052966 -8.86837
0.053066 -8.730766
0.053166 -8.559723
0.053266 -8.363113
0.053366 -8.151454
0.053466 -7.937214
0.053566 -7.734258
0.053666 -7.557874
0.053766 -7.422918
0.053866 -7.343513
0.053966 -7.332526
0.054066 -7.399747
0.054166 -7.549299
0.054266 -7.775147
0.054366 -8.07473
0.054466 -8.433335
0.054566 -8.823087
0.054666 -9.224445
0.054766 -9.614557
0.054866 -9.970352
0.054966 -10.268862
0.055066 -10.490354
0.055166 -10.622629
0.055266 -10.663685
0.055366 -10.622486
0.055466 -10.517794
0.055566 -10.37493
0.055666 -10.204658
0.055766 -10.040628
0.055866 -9.913806
0.055966 -9.845874
0.056066 -9.853493
0.056166 -9.94932
0.056266 -10.140231
0.056366 -10.425258
0.056466 -10.792304
0.056566 -11.218369
0.056666 -11.673465
0.056766 -12.125187
0.056866 -12.542139
0.056966 -12.896434
0.057066 -13.16606
0.057166 -13.337033
0.057266 -13.404735
0.057366 -13.374002
0.057466 -13.258007
0.057566 -13.076828
0.057666 -12.839348
0.057766 -12.579497
0.057866 -12.325658
0.057966 -12.098461
0.058066 -11.914886
0.058166 -11.789196
0.058266 -11.73205
0.058366 -11.751469
0.058466 -11.849903
0.058566 -12.026756
0.058666 -12.280018
0.058766 -12.595372
0.058866 -12.954871
0.058966 -13.340508
0.059066 -13.736985
0.059166 -14.131446
0.059266 -14.513637
0.059366 -14.875761
0.059466 -15.211887
0.059566 -15.517795
0.059666 -15.79189
0.059766 -16.013963
0.059866 -16.198224
0.059966 -16.362605
0.060066 -16.519769
0.060166 -16.67938
0.060266 -16.849291
0.060366 -17.035438
0.060466 -17.242033
0.060566 -17.471612
0.060666 -17.722211
0.060766 -17.988493
0.060866 -18.264467
0.060966 -18.545699
0.061066 -18.827456
0.061166 -19.104425
0.061266 -19.372605
0.061366 -19.631085
0.061466 -19.883894
0.061566 -20.139918
0.061666 -20.410766
0.061766 -20.707785
0.061866 -21.040594
0.061966 -21.412021
0.062066 -21.821888
0.062166 -22.261138
0.062266 -22.710697
0.062366 -23.148452
0.062466 -23.55154
0.062566 -23.899004
0.062666 -24.172006
0.062766 -24.33126
0.062866 -24.419524
0.062966 -24.466257
0.063066 -24.493588
0.063166 -24.509031
0.063266 -24.52087
0.063366 -24.537252
0.063466 -24.571727
0.063566 -24.646923
0.063666 -24.791361
0.063766 -25.032805
0.063866 -25.390275
0.063966 -25.868185
0.064066 -26.457702
0.064166 -27.136264
0.064266 -27.872272
0.064366 -28.632698
0.064466 -29.363903
0.064566 -30.036144
0.064666 -30.652491
0.064766 -31.204139
0.064866 -31.675237
0.064966 -32.051822
0.065066 -32.329468
0.065166 -32.51765
0.065266 -32.646979
0.065366 -32.455305
0.065466 -32.338254
0.065566 -32.534017
0.065666 -33.121251
0.065766 -34.074026
0.065866 -35.310957
0.065966 -36.739016
0.066066 -38.278927
0.066166 -39.868962
0.066266 -41.451588
0.066366 -42.961252
0.066466 -44.318383
0.066566 -45.439044
0.066666 -46.257278
0.066766 -46.745098
0.066866 -46.925445
0.066966 -46.863623
0.067066 -46.650305
0.067166 -46.369017
0.067266 -46.099375
0.067366 -45.871986
0.067466 -45.731643
0.067566 -45.727863
0.067666 -45.872284
0.067766 -46.208105
0.067866 -46.740643
0.067966 -47.447224
0.068066 -48.287161
0.068166 -49.209706
0.068266 -50.161367
0.068366 -51.034179
0.068466 -51.63263
0.068566 -52.094582
0.068666 -52.50311
0.068766 -52.934398
0.068866 -53.474511
0.068966 -54.17186
0.069066 -55.055693
0.069166 -56.151147
0.069266 -57.48487
0.069366 -59.076092
0.069466 -60.926036
0.069566 -63.00323
0.069666 -65.242911
0.069766 -67.565063
0.069866 -69.894621
0.069966 -72.175391
0.070066 -74.375224
0.070166 -76.482204
0.070266 -78.495134
0.070366 -80.411491
0.070466 -82.215152
0.070566 -83.876416
0.070666 -85.359608
0.070766 -86.624642
0.070866 -87.63326
0.070966 -88.361974
0.071066 -88.807614
0.071166 -89.003894
0.071266 -89.007843
0.071366 -88.904991
0.071466 -88.776879
0.071566 -88.688959
0.071666 -88.749819
0.071766 -89.056543
0.071866 -89.634884
0.071966 -90.448704
0.072066 -91.427673
0.072166 -92.484492
0.072266 -93.544369
0.072366 -94.564832
0.072466 -95.56171
0.072566 -96.615803
0.072666 -97.868449
0.072766 -99.48082
0.072866 -101.631236
0.072966 -104.44735
0.073066 -107.934001
0.073166 -111.975298
0.073266 -116.37042
0.073366 -120.881759
0.073466 -125.284159
0.073566 -129.408875
0.073666 -133.172615
0.073766 -136.575525
0.073866 -139.669069
0.073966 -142.532295
0.074066 -145.241807
0.074166 -147.848654
0.074266 -150.347272
0.074366 -152.630263
0.074466 -154.695504
0.074566 -156.534353
0.074666 -158.12111
0.074766 -159.44623
0.074866 -160.537363
0.074966 -161.480051
0.075066 -162.458897
0.075166 -163.684409
0.075266 -165.375943
0.075366 -167.578679
0.075466 -170.249892
0.075566 -173.272146
0.075666 -176.535693
0.075766 -179.99738
0.075866 -183.677121
0.075966 -187.655548
0.076066 -192.018537
0.076166 -196.831705
0.076266 -202.111458
0.076366 -207.785278
0.076466 -213.698434
0.076566 -219.669158
0.076666 -225.555382
0.076766 -231.298113
0.076866 -236.905934
0.076966 -242.45981
0.077066 -248.057985
0.077166 -253.75449
0.077266 -259.684057
0.077366 -265.97334
0.077466 -272.758275
0.077566 -280.117184
0.077666 -288.034873
0.077766 -296.436918
0.077866 -305.172505
0.077966 -313.955911
0.078066 -322.397998
0.078166 -330.158772
0.078266 -337.152717
0.078366 -343.200704
0.078466 -348.175932
0.078566 -352.094889
0.078666 -355.123903
0.078766 -357.615477
0.078866 -360.046645
0.078966 -362.897565
0.079066 -366.565736
0.079166 -371.298574
0.079266 -377.156263
0.079366 -384.118367
0.079466 -392.088053
0.079566 -400.989752
0.079666 -410.652465
0.079766 -420.839019
0.079866 -431.34582
0.079966 -442.177523
0.080066 -453.582335
0.080166 -465.916966
0.080266 -479.148463
0.080366 -493.124119
0.080466 -507.584333
0.080566 -522.292847
0.080666 -536.97951
0.080766 -551.252141
0.080866 -564.71981
0.080966 -577.103778
0.081066 -588.102284
0.081166 -597.798766
0.081266 -606.700346
0.081366 -615.840168
0.081466 -626.073577
0.081566 -638.113936
0.081666 -652.096988
0.081766 -667.839146
0.081866 -684.739594
0.081966 -701.82121
0.082066 -717.793241
0.082166 -731.583492
0.082266 -742.857134
0.082366 -752.276456
0.082466 -760.530266
0.082566 -768.802227
0.082666 -778.088875
0.082766 -789.57496
0.082866 -801.482755
0.082966 -815.776076
0.083066 -833.515944
0.083166 -858.548106
0.083266 -885.170325
0.083366 -909.135841
0.083466 -929.503403
0.083566 -948.8391
0.083666 -968.838964
0.083766 -989.880367
0.083866 -1011.990637
0.083966 -1035.116131
0.084066 -1058.075679
0.084166 -1079.20292
0.084266 -1098.362669
0.084366 -1116.757203
0.084466 -1135.362968
0.084566 -1154.960673
0.084666 -1175.70006
0.084766 -1196.947935
0.084866 -1217.51469
0.084966 -1236.030803
0.085066 -1251.8776
0.085166 -1265.702918
0.085266 -1278.532824
0.085366 -1290.851129
0.085466 -1304.58923
0.085566 -1319.671702
0.085666 -1333.639546
0.085766 -1344.931501
0.085866 -1355.969302
0.085966 -1367.999729
0.086066 -1382.721873
