XYDATA, head_y_rot_accel
0.0 -0.0
1e-05 -0.732927
6e-05 -5.466796
0.0003 -3.947268
0.000692 -0.66742
0.001206 0.655029
0.001816 0.454296
0.002505 0.039111
0.003256 -0.075414
0.004057 0.028211
0.004898 0.116684
0.00577 0.126242
0.006668 0.111736
0.007586 0.103478
0.008521 0.094838
0.009469 0.095394
0.010427 0.111856
0.011394 0.128156
0.012367 0.116062
0.013346 0.055594
0.014328 -0.040376
0.015315 -0.120202
0.016304 -0.187751
0.017295 -0.258515
0.018288 -0.327675
0.019282 -0.395129
0.020278 -0.500013
0.021274 -0.635432
0.022271 -0.761222
0.023269 -0.877777
0.024267 -0.991468
0.025266 -1.10491
0.026265 -1.246472
0.027264 -1.431955
0.028263 -1.638202
0.029262 -1.816995
0.030262 -1.968191
0.031262 -2.097792
0.032261 -2.22876
0.033261 -2.39096
0.034261 -2.60319
0.035261 -2.824674
0.036261 -3.002247
0.03726 -3.146793
0.03826 -3.305175
0.03926 -3.526582
0.04026 -3.771222
0.04126 -3.966831
0.04226 -4.084434
0.04326 -4.158595
0.04426 -4.25938
0.04526 -4.423061
0.04626 -4.631799
0.04726 -4.8724
0.04826 -5.119027
0.04926 -5.387707
0.05026 -5.712044
0.05126 -6.116064
0.05226 -6.582297
0.05326 -7.060378
0.05426 -7.565382
0.05526 -8.164132
0.05626 -8.890114
0.05726 -9.735294
0.05826 -10.748973
0.05926 -11.990589
0.06026 -13.50155
0.06126 -15.729702
0.06226 -17.837176
0.06326 -20.994928
0.06426 -24.537543
0.06526 -28.546743
0.06626 -33.22728
0.06726 -38.685411
0.06826 -44.933112
0.06926 -52.390054
0.07026 -61.548965
0.07126 -72.652051
0.07226 -86.196734
0.07326 -102.596147
0.07426 -122.212009
0.07526 -146.34592
0.07626 -177.524896
0.07726 -217.605619
0.07826 -268.343649
0.07926 -330.319125
0.08026 -405.280658
0.08126 -497.582368
0.08226 -614.7998
0.08326 -754.484673
0.08426 -929.742669
0.08526 -1119.590209
0.08626 -1308.514696
0.08726 -1462.185024
0.08826 -1564.89482
0.08926 -1602.183846
0.09026 -1600.696952
0.09126 -1574.09915
0.09226 -1533.331235
0.09326 -1488.833692
0.09426 -1448.102313
0.09526 -1406.568023
0.09626 -1364.132287
0.09726 -1318.011445
0.09826 -1269.830337
0.09926 -1221.947543
0.10026 -1175.471143
0.10126 -1132.193123
0.10226 -1097.93237
0.10326 -1070.942768
0.10426 -1054.230167
0.10526 -1051.29296
0.10626 -1063.13873
0.10726 -1091.248101
0.10826 -1130.459235
0.10926 -1186.945386
0.11026 -1254.337364
0.11126 -1340.131587
0.11226 -1414.403974
0.11326 -1468.060218
0.11426 -1490.501584
0.11526 -1437.899677
0.11626 -1291.382962
0.11726 -1071.464608
0.11826 -818.283325
0.11926 -563.743798
0.12026 -315.26939
0.120987 72.092781
0.121343 5571.700024
0.121827 2337.831187
0.122414 1203.143886
0.123084 859.648405
