XYDATA,	head_z_accel / (G)
0.0	0.0
0.0	-0.14038198569338153
1e-06	-0.3197085651063309
3e-06	-0.3647503479781577
1.6e-05	0.02485058608189341
7.8e-05	0.12714260221380388
0.000328	0.054275211208720614
0.000728	-0.003307857423279102
0.001248	-0.007304839063288688
0.001864	0.00012430340636200945
0.002557	0.0013728439375321848
0.003311	0.001009621022469447
0.004115	0.0010618304925739167
0.004957	0.0011785879989598897
0.005831	0.0012740334364946236
0.006731	0.0014112872387614527
0.00765	0.0015459917504958372
0.008586	0.0015679156490748627
0.009534	0.0014093497779567947
0.010493	0.0012028572448287641
0.01146	0.0011062901194597544
0.012434	0.0004902795551997879
0.013413	-0.0007353173611783842
0.014396	-0.0007721291164668873
0.015382	-4.7926662009962624e-06
0.016371	-0.00042593546216088064
0.017363	-0.00204157383000311
0.018356	-0.0034526571255219674
0.01935	-0.004101910438325015
0.020346	-0.005747936349313986
0.021342	-0.006974043123798647
0.022339	-0.008414698189493863
0.023337	-0.010526632438192452
0.024335	-0.011601515298292486
0.025334	-0.0127559360230048
0.026333	-0.014986055380787528
0.027332	-0.0172834760086268
0.028331	-0.018919100814243396
0.02933	-0.02020435112908078
0.03033	-0.02267920237797821
0.03133	-0.02474983812005119
0.032329	-0.02689450525918637
0.033329	-0.029810995599924544
0.034329	-0.03241616658084055
0.035329	-0.03401681512035201
0.036329	-0.03493894449174795
0.037328	-0.03759479536844896
0.038328	-0.04178195408217893
0.039328	-0.04495133404373563
0.040328	-0.047865988895290444
0.041328	-0.05066154089316943
0.042328	-0.053284352964569966
0.043328	-0.0573711716029429
0.044328	-0.0614739997858596
0.045328	-0.06501119138543744
0.046328	-0.06829437167636247
0.047328	-0.07224536411516676
0.048328	-0.07705679309448181
0.049328	-0.08256713556617193
0.050328	-0.09022194123375465
0.051328	-0.09857810771262358
0.052328	-0.1080902244905243
0.053328	-0.11974435714540643
0.054328	-0.13408411639040854
0.055328	-0.15022112546078428
0.056328	-0.16876721408432035
0.057328	-0.19135749720852688
0.058328	-0.2197658731575003
0.059328	-0.2541259247551407
0.060328	-0.2948922414891936
0.061328	-0.3422745789846686
0.062328	-0.4021259043608164
0.063328	-0.4679421616963999
0.064328	-0.5451283567783086
0.065328	-0.6327464526622242
0.066328	-0.7326184782774954
0.067328	-0.8454947408136316
0.068328	-0.9734340473046352
0.069328	-1.1227074485170778
0.070328	-1.3049821294733677
0.071328	-1.5318533852028982
0.072328	-1.8193393258656116
0.073328	-2.1724811225036076
0.074328	-2.598711996451388
0.075328	-3.1417716549484282
0.076328	-3.8608459565702864
0.077328	-4.783667919218082
0.078328	-5.919572942850006
0.079328	-7.255692718716381
0.080328	-8.824189606032641
0.081328	-10.665345148445189
0.082328	-12.72538838441262
0.083328	-14.952274018140754
0.084328	-17.3488489953246
0.085328	-19.65042833179526
0.086328	-21.42551482922303
0.087328	-22.22239949422076
0.088328	-21.963509353346964
0.089328	-20.914774362294974
0.090328	-19.379746804464318
0.091328	-17.658611248489546
0.092328	-15.90207583629476
0.093328	-14.149676393059812
0.094328	-12.495951828606099
0.095328	-10.896191054029664
0.096328	-9.40771578469712
0.097328	-8.034472628267554
0.098328	-6.790502363192323
0.099328	-5.658143504662653
0.100328	-4.664472679253365
0.101328	-3.8470909026018063
0.102328	-3.250645225433762
0.103328	-2.8398315428816163
0.104328	-2.627743724921354
0.105328	-2.6661692830885166
0.106328	-2.829358139629741
0.107328	-3.047144131788124
0.108328	-3.2700389021735248
0.109328	-3.510673777487725
0.110328	-3.8096963794975864
0.111328	-4.215003798442893
0.112328	-4.6662700310503595
0.113328	-5.144108028735603
0.114328	-5.595558524062754
0.115328	-5.95040385860615
0.116328	-6.194108181693035
0.117328	-6.327125470981426
0.118328	-6.237294590915348
0.119328	-5.924409660791403
0.120328	-5.410265075229564
0.121328	-4.697555128407764
0.122055	-3.8932953658996707
0.122411	-2.433205630872928
0.122895	-1.592023881753708
0.123482	-1.01362534606619
0.124152	-0.4894816272631327
0.124888	0.5467501134434287
0.125677	1.3902345857147957
0.126508	2.292829559533582
0.127294	3.4821574135917976
0.128048	4.897673211545227
0.128851	6.394453151687885
0.129693	8.190541724238145
0.130567	10.078137386365375
0.131466	11.89431273676536
0.132385	13.634880310809503
0.133321	15.619398469405963
0.134269	17.75847328088593
0.135141	20.02908924046438
